PROD_ID|PROD_NAME|PROD_UOM_PRIN|PROD_GRP_PRIN|PROD_HNA_PRIN|PROD_HNA|
0070217|LANORE BRIGHTENING POWDER FOUNDATION GOLDEN BEIGE|PCS|OTC|132,750.00|122,793.75|
0070218|LANORE WHITENING &amp; ANTI AGING CC CREAM SANDY BEIGE|PCS|OTC|117,800.00|108,965.00|
0070219|LANORE MOISTURIZER CLEANSING GEL|PCS|OTC|52,000.00|48,100.00|
0070220|LANORE FACE MASK WHITENING|PCS|OTC|19,800.00|18,315.00|
0070221|LANORE FAE MASK ANTIAGING|PCS|OTC|19,800.00|18,315.00|
0070222|LANORE HYDROGEL AG EYE PATCH|PAC|OTC|77,000.00|71,225.00|
0070223|LANORE HYDROGEL WT EYE PATCH|PAC|OTC|77,000.00|71,225.00|
0070224|LANORE WHITENING&amp;ANTIAGING DD CUSHION SPF 36/PA++ 01.FAIR|PCS|OTC|175,000.00|161,875.00|
0070225|LANORE WHITENING&amp;ANTIAGING DD CUSHION SPF 36/PA++ 02.BEIGE|PCS|OTC|175,000.00|161,875.00|
0070226|LANORE ANTIAGING EYE GEL|BTL|OTC|150,000.00|138,750.00|
0070227|MEDSCAB LOTION @30GR|BTL|ETHICAL|63,750.00|56,100.00|
0070228|LANORE INTIMATE SCRUB|PCS|OTC|68,000.00|62,900.00|
0070229|LANORE INTIMATE WHITENING CREAM|PCS|OTC|87,000.00|80,475.00|
0070230|LANORE LIP BALM STICK NEUTRAL|PCS|OTC|66,000.00|61,050.00|
0070231|LANORE LIP CARE MAGIC COLOR|PCS|OTC|75,000.00|69,375.00|
0070232|LANORE LIP BALM MAGIC COLOUR|PCS|OTC|75,000.00|69,375.00|
0070233|ACNEMED ACNE CARE GEL 5GR|TUB|OTC|15,000.00|13,875.00|
0070234|ACNEMED ACNE CARE GEL 18GR|TUB|OTC|29,000.00|26,825.00|
0070235|ACNEMED FACIAL WASH FOR OILY SKIN 50GR|TUB|OTC|20,000.00|18,500.00|
0070236|ACNEMED FACIAL WASH FOR OILY SKIN 100GR|TUB|OTC|33,000.00|30,525.00|
0070237|LANORE SERUM WHITENING+ANTIAGING @30ML|BTL|OTC|350,000.00|323,750.00|
0070238|LANORE INTELGOLD SERUM @10ML|BTL|OTC|215,000.00|198,875.00|
0070239|SKINBRIGHT LOOSE POWDER FOR OILY SKIN BEIGE|PCS|PEACOCK|67,500.00|59,400.00|
0070240|LANORE HYDROGEL AG EYE PATCH|PCS|OTC|15,400.00|14,245.00|
0070241|LANORE HYDROGEL WT EYE PATCH|PCS|OTC|15,400.00|14,245.00|
0070242|MELANOX Premium Double Power For Eyes|PCS|OTC|108,000.00|99,900.00|
0070243|ACNEMED CLEAR FACIAL SHEET MASK|PCS|OTC|23,000.00|21,275.00|
0070244|ACNEMED PORE TIGHTENING CHARCOAL FACIAL SHEET MASK|PCS|OTC|23,000.00|21,275.00|
0070245|ACNEMED ACNE PATCH|PCS|OTC|34,000.00|31,450.00|
0070246|Vitacid 0.5 mg Gel @20g|TUB|ETHICAL|49,500.00|43,560.00|
0070247|Vitacid 1 mg Gel @20g|TUB|ETHICAL|64,950.00|57,156.00|
0070248|Erymed Gel @10g|TUB|ETHICAL|21,000.00|18,480.00|
0070249|HYALUDERM FACE MOISTURIZER SERUM 15ML|BTL|PEACOCK|99,000.00|87,120.00|
0070250|MEDI - KLIN GEL @10G|DUS|ETHICAL|17,500.00|15,400.00|
0078032|PARASOL CREAM 20 GR|TUB|OTC|15,725.00|17,000.00|
0078049|BENZOLAC 5 5 GRAM|TUB|KHUSUS|5,087.50|5,500.00|
